*    Row   *   EventNo * ParticleI *    Energy * Direction * Direction * Direction * Position_ * Position_ * Position_ *  costheta *     theta *       phi *
*      101 *       101 *      2112 * 0.0002952 * 0.4723055 * -0.841287 * -0.262988 * 608.08630 *       750 * -691.5984 * 0.8412874 * 32.723677 * 330.89013 *
*      102 *       102 *      2112 * 0.0003315 * -0.487074 * -0.865374 * 0.1178337 * 17.899626 *       750 * 43.032091 * 0.8653747 * 30.074480 * 166.40023 *
*      103 *       103 *      2112 * 0.0020106 * -0.966701 * -0.231352 * 0.1093818 * -537.9711 *       750 * 544.67516 * 0.2313521 * 76.623310 * 173.54446 *
*      104 *       104 *      2112 * 0.0051284 * -0.053715 * -0.962167 * 0.2671127 * 80.486005 *       750 * -579.9292 * 0.9621670 * 15.810720 * 101.37038 *
*      105 *       105 *      2112 * 2.9692781 * -0.615740 * -0.054380 * 0.7860703 * 684.01726 *       750 * -322.3327 * 0.0543808 * 86.882668 * 128.07211 *
*      106 *       106 *      2112 * 0.0001264 * -0.503599 * -0.811810 * 0.2955514 * -226.3042 *       750 * 478.45170 * 0.8118107 * 35.726770 * 149.59227 *
*      107 *       107 *      2112 * 0.0001657 * 0.4260824 * -0.027461 * 0.9042674 * -525.3812 *       750 * 430.21001 * 0.0274613 * 88.426382 * 64.770617 *
*      108 *       108 *      2112 * 197.08099 * 0.8427001 * -0.180727 * -0.507142 * 29.113093 *       750 * 506.87802 * 0.1807275 * 79.587860 * 328.96017 *
*      109 *       109 *      2112 * 0.0032548 * 0.1526256 * -0.899671 * -0.409018 * 323.56052 *       750 * -654.1716 * 0.8996718 * 25.885027 * 290.46312 *
*      110 *       110 *      2112 * 0.0009015 * -0.054990 * -0.461512 * 0.8854279 * -239.2847 *       750 * -22.51892 * 0.4615120 * 62.515276 * 93.553830 *
*      111 *       111 *      2112 * 1.4653568 * 0.1116298 * 0.1415890 * 0.9836113 * -411.8849 *       750 * 525.11812 * -0.141589 * 98.139809 * 83.525217 *
*      112 *       112 *      2112 * 0.0019415 * -0.801266 * 0.5682908 * -0.187128 * -622.2182 *       750 * 276.26369 * -0.568290 * 124.63112 * 193.14527 *
*      113 *       113 *      2112 * 0.0001562 * -0.684933 * 0.6897595 * -0.234728 * -469.6070 *       750 * -530.0296 * -0.689759 * 133.61107 * 198.91672 *
*      114 *       114 *      2112 * 0.0296814 * 0.3555178 * -0.759364 * 0.5449515 * -739.6775 *       750 * -81.41181 * 0.7593647 * 40.591771 * 56.880203 *
*      115 *       115 *      2112 * 0.0003764 * -0.019388 * -0.936339 * -0.350559 * 130.01760 *       750 * -514.8256 * 0.9363397 * 20.554321 * 266.83431 *
*      116 *       116 *      2112 * 0.0349934 * -0.998802 * 0.0263941 * -0.041187 * 588.46666 *       750 * 300.45623 * -0.026394 * 91.512449 * 182.36138 *
*      117 *       117 *      2112 * 0.0001538 * 0.5656442 * -0.728886 * 0.3857085 * -212.8307 *       750 * -158.1589 * 0.7288864 * 43.206874 * 34.289782 *
*      118 *       118 *      2112 * 21.904118 * -0.050821 * -0.996013 * -0.073309 * 250.30851 *       750 * -261.7131 * 0.9960134 * 5.1177375 * 235.26824 *
*      119 *       119 *      2112 * 0.0219281 * 0.6105353 * -0.666616 * -0.427632 * -527.9805 *       750 * -360.0506 * 0.6666161 * 48.193566 * 324.99176 *
*      120 *       120 *      2112 * 0.0167776 * 0.0837609 * -0.980342 * -0.178640 * 136.28067 *       750 * -143.8841 * 0.9803425 * 11.379286 * 295.12088 *
*      121 *       121 *      2112 * 0.0002022 * -0.763085 * -0.245147 * -0.597999 * 643.28489 *       750 *  390.2355 * 0.2451470 * 75.809475 * 218.08438 *
*      122 *       122 *      2112 * 0.0008514 * 0.2958421 * -0.955227 * 0.0041566 * -520.3037 *       750 * 594.72480 * 0.9552278 * 17.209792 * 0.8049675 *
*      123 *       123 *      2112 * 225.45627 * -0.155081 * -0.926953 * 0.3416246 * 535.32871 *       750 * 739.28513 * 0.9269532 * 22.035246 * 114.41583 *
