*    Row   *   EventNo * Antineutr * Positron_ * Neutron_K *  Vertex_X *  Vertex_Y *  Vertex_Z * Annihilat * Annihilat * Annihilat * Annihilat *
*      109 *       109 * 3.3231104 * 1.5066451 * 0.0104653 * 238.62325 * -275.3723 * -463.4436 * 240.04401 * -271.7325 * -466.8391 * 0.0247316 *
*      110 *       110 * 7.4511794 * 5.5825657 * 0.0626137 * 175.18483 * -373.1724 * 167.96356 * 153.66555 * -387.7626 * 157.87258 * 0.1128336 *
*      111 *       111 * 4.3199079 * 2.4978515 * 0.0160563 * -396.7467 * -397.8526 * -265.1004 * -402.1161 * -400.7841 * -271.9340 * 0.0475570 *
*      112 *       112 * 4.4178121 * 2.6010294 * 0.0107827 * 404.72453 * -72.42897 * 363.68885 * 403.25141 * -79.84805 * 371.85061 * 0.0518137 *
*      113 *       113 * 4.2996839 * 2.4683578 * 0.0253260 * -260.4720 * -139.0215 * 238.78708 * -260.7267 * -140.1985 * 237.55043 * 0.0058618 *
*      114 *       114 * 3.5670140 * 1.7530152 * 0.0079987 * 469.15728 * -107.7688 * 307.73734 * 467.90083 * -101.6030 * 309.91979 * 0.0307096 *
*      115 *       115 * 2.8115166 * 0.9972902 * 0.0082263 * -457.9778 * -105.9616 * 106.81429 * -456.6648 * -103.8550 * 103.82004 * 0.0191967 *
*      116 *       116 * 3.8974018 * 2.0861423 * 0.0052594 * -145.5848 * 264.76088 * 123.73737 * -145.4258 * 261.21492 * 128.26455 * 0.0437611 *
*      117 *       117 * 3.0516771 * 1.2375484 * 0.0081287 * 338.56136 * -209.8235 * 252.68689 * 341.73746 * -208.5210 * 250.34862 * 0.0256155 *
*      118 *       118 * 4.1297723 * 2.3091288 * 0.0146435 * 345.59287 * -230.2819 * 263.46972 * 347.95698 * -224.4969 * 260.86436 * 0.0383236 *
*      119 *       119 * 3.5606260 * 1.7404881 * 0.0141378 * -429.4694 * 46.473717 * 120.99230 * -436.9803 * 47.129803 * 116.52282 * 0.0333690 *
*      120 *       120 * 3.7583679 * 1.9471923 * 0.0051756 * 166.15739 * -374.5930 * 287.40194 * 163.56174 * -371.8641 * 293.53447 * 0.0350249 *
*      121 *       121 * 3.9587106 * 2.1332064 * 0.0195041 * -244.1940 * 346.03934 * 421.07798 * -241.8637 * 339.29755 * 415.57104 * 0.0380150 *
*      122 *       122 * 3.6949636 * 1.8763866 * 0.0125769 * 133.02752 * -384.7056 * 466.55139 * 130.96202 * -381.8360 * 460.32033 * 0.0286877 *
*      123 *       123 * 5.3203799 * 3.4711207 * 0.0432592 * 77.646012 * -493.9028 * 211.26324 * 213.22264 * -431.0109 * 202.62634 * 37355.739 *
*      124 *       124 * 3.3574824 * 1.5440850 * 0.0073973 * -297.4293 * -357.6795 * 378.16972 * -295.2259 * -353.5886 * 380.45053 * 0.0209321 *
*      125 *       125 * 3.8742876 * 2.0569606 * 0.0113269 * 255.95556 * -410.7243 * -485.9962 * 257.96229 * -403.2666 * -481.5604 * 0.0380765 *
